Product URL,Product Name,Price (RUB),Rating
https://goldapple.ru/82860100003-eau-de-parfum,Missoni: Eau de Parfum,7110,4.4
https://goldapple.ru/19000059077-ciel-d-orage-absolute,OJAR: Ciel D'Orage Absolute,13068,None
https://goldapple.ru/19000061653-twice-for-her,ICEBERG: TWICE FEMME,860,4.7
https://goldapple.ru/19000011565-atelier-versace-gingembre-petillant,VERSACE ATELIER: ATELIER VERSACE GINGEMBRE PETILLANT,24585,4.8
https://goldapple.ru/19000121290-dusk,THE WOODS COLLECTION: Dusk,10881,4.8
https://goldapple.ru/19000121298-diamond,SIGNATURE BY SILLAGE DORIENT: Diamond,15000,5
https://goldapple.ru/19000225177-vanille-benjoin,Affinessence: VANILLE-BENJOIN,10783,None
https://goldapple.ru/26300600002-artisan,John Varvatos: Artisan,5632,4.4
https://goldapple.ru/19000089347-tangerine-cinnamon,Secrete candles: Tangerine-cinnamon,2707,3
https://goldapple.ru/19760327535-atelier-santal-boise,VERSACE ATELIER: ATELIER SANTAL BOISE,24585,4.8
https://goldapple.ru/19000222817-love-don-t-be-shy,"Kilian Paris: Love, don't be shy",32100,5
https://goldapple.ru/19760319039-man-glacial-essence,Bvlgari: MAN GLACIAL ESSENCE,5910,4.7
https://goldapple.ru/19000006029-oud-satin-mood,Maison Francis Kurkdjian: Oud satin mood,17000,5
https://goldapple.ru/19000196621-l-interdit-rouge-ultime,Givenchy: L’Interdit Rouge Ultime,16420,5
https://goldapple.ru/19000014612-synthetic-jungle,Frederic Malle: Synthetic Jungle,31000,5
https://goldapple.ru/19000186479-salty-wood,L'atelier parfum: Salty wood,2691,4.4
https://goldapple.ru/19000152493-odyssey,IMMERSE: ODYSSEY,2617,None
https://goldapple.ru/19000131328-african-olibanum,Vellutier: African Olibanum,3285,None
https://goldapple.ru/19000213768-solution-no-3,Off-White: Solution no. 3,6900,5
https://goldapple.ru/19000222194-precieuse-folie,ANTINOMIE: PRÉCIEUSE FOLIE,11925,5
https://goldapple.ru/19000117863-tinhare,Le Couvent: Tinhare,5310,4.6
https://goldapple.ru/19000198176-desert-dusk,RHIZOME: Desert Dusk,4795,5
https://goldapple.ru/19000225957-dacha,Alfred ritchy: Dacha,11467,4.5
https://goldapple.ru/19000121292-secrets,THE WOODS COLLECTION: Secrets,10881,4.7
https://goldapple.ru/26800100002-acqua-universalis,Maison Francis Kurkdjian: Aqua Universalis,21000,4.7
https://goldapple.ru/19000138441-dylan-purple-pour-femme,Versace: DYLAN PURPLE pour femme,6045,4.4
https://goldapple.ru/19000148354-divine-vanille,ESSENTIAL PARFUMS PARIS: DIVINE VANILLE refillable,7815,3.9
https://goldapple.ru/19000241388-bloo,TLEYA: BLOO,1860,None
https://goldapple.ru/19000200194-berry-craving-23-06,Neydo: Berry craving 23.06,4680,4.6
https://goldapple.ru/19000153562-sensoriel-bloomastral,J.U.S Joyau Unique & Sensoriel: Sensoriel Bloomastral,7850,None
https://goldapple.ru/19000026996-musc,SOLINOTES: MUSC,975,4.5
https://goldapple.ru/19000230163-te-dire-oui-v-h,D'orsay: Te dire oui. V.H.,9276,5
https://goldapple.ru/19000241389-braun,TLEYA: Braun,1860,None
https://goldapple.ru/19000061654-twice-for-him,ICEBERG: TWICE HOMME,1375,4.7
https://goldapple.ru/82401200003-l-eau-d-hiver,Frederic Malle: L'Eau D'Hiver,33300,4.6
https://goldapple.ru/26161100001-soleil-de-capri,MONTALE: Soleil de Capri,14603,4.7
https://goldapple.ru/19000006030-baccarat-rouge-540,Maison Francis Kurkdjian: BACCARAT ROUGE 540,27000,4.7
https://goldapple.ru/19000061651-eau-de-jasmine-for-her,ICEBERG: EAU JASMINE,1565,4.8
https://goldapple.ru/19760310030-sense-of-humor,State Of Mind: Sense of Humor,9684,5
https://goldapple.ru/19000009358-coeur-de-petales,L'atelier parfum: COEUR DE PÉTALES,4251,4.7
https://goldapple.ru/19000225959-lakeside,Alfred ritchy: Lakeside,7645,3
https://goldapple.ru/19000063331-diurno,MILANO FRAGRANZE: Diurno,8489,None
https://goldapple.ru/19000078023-mandarin-honey,OXYGEN Home: Mandarin & Honey,1326,4
https://goldapple.ru/19000136338-panettone,MILANO FRAGRANZE: Panettone,8489,5
https://goldapple.ru/19760313106-06-black-platinum,BANANA REPUBLIC: 06 Black Platinum,3490,4.3
https://goldapple.ru/19000152686-divine-aroma,LE PARFUM FRANCAIS: DIVINE AROMA,750,4.3
https://goldapple.ru/19000084155-sandalwood-jasmine,"Zielinski & Rozen: Sandalwood, Jasmine",3910,None
https://goldapple.ru/19000048661-tea-and-lemongrass,Cereria Molla: Tea and Lemongrass,4382,None
https://goldapple.ru/19000166824-grand-master,Mind Games: Grand Master,17885,4
https://goldapple.ru/19000173773-l-eau-ensoleillee-de-rose,Rose et Marius: L’eau ensoleillée de rose,2652,4.2
https://goldapple.ru/19760310033-voluptuous-seduction,State Of Mind: Voluptuous Seduction,6994,3.5
https://goldapple.ru/19000012427-shanti-shanti,MILLER ET BERTAUX: Shanti Shanti,11220,None
https://goldapple.ru/19000233248-kirra-curl,Mihan Aromatics: Kirra Curl,35343,5
https://goldapple.ru/80130500011-in-red,Armand Basi: In RED,9127,4.3
https://goldapple.ru/28330100008-no-7-le-sel-de-la-terre,THOMAS KOSMALA: № 7 Le Sel De La Terre,19184,4
https://goldapple.ru/19000048703-bergamotto-di-calabria,Cereria Molla: Bergamotto di Calabria,7110,None
https://goldapple.ru/19760300405-501-praline-reglisse-patchouli,"Bon Parfumeur Paris!: 501 – praline, réglisse, patchouli",3217,4.6
https://goldapple.ru/83290100014-miel-d-arabie,CHOPARD: Miel D'arabie,14228,5
https://goldapple.ru/19760302811-dom-rosa,Liquides Imaginaires: DOM ROSA,15592,4.5
https://goldapple.ru/19000122591-c-est-toujours-agreable-d-etre-attendu-o-w,D'orsay: C’est toujours agréable d’être attendu O.W,9276,4.7
https://goldapple.ru/19760327531-atelier-cedrat-de-diamante,VERSACE ATELIER: ATELIER CEDRAT DE DIAMANTE,27863,4
https://goldapple.ru/19000229070-pampas-grass-pomelo,Magma London: PAMPAS GRASS & POMELO,11238,None
https://goldapple.ru/26801500004-baccarat-rouge-540,Maison Francis Kurkdjian: Baccarat Rouge 540,10000,3.5
https://goldapple.ru/19000153642-fraise-bonbon,TUTTI DELICES: Fraise bonbon,857,4.7
https://goldapple.ru/19000148361-bois-imperial,ESSENTIAL PARFUMS PARIS: Bois Imperial,7208,4.4
https://goldapple.ru/19000184760-vida-loca-for-him,MANDARINA DUCK: VIDA LOCA for him,2100,4.8
https://goldapple.ru/19000051614-an-na-annayake,ANNAYAKE perfume: AN’NA ANNAYAKE,6772,4.8
https://goldapple.ru/19000212085-lp02,Le persona: LP02,4800,4.2
https://goldapple.ru/19000152489-tinto,IMMERSE: TINTO,2617,None
https://goldapple.ru/82860300003-pour-homme,Missoni: Pour Homme,5243,4.8
https://goldapple.ru/19000191218-vetiver-magnolia,Mark Buxton: vetiver & magnolia,3850,4
https://goldapple.ru/19000150174-hors-piste,BASTILLE: Hors-Piste,9682,4.3
https://goldapple.ru/19000175810-vibrant-woody-mandarin,ANGEL SCHLESSER: Vibrant Woody Mandarin,6172,4.7
https://goldapple.ru/83800100006-divine-vanille,ESSENTIAL PARFUMS PARIS: DIVINE VANILLE,2107,4.3
https://goldapple.ru/19000215478,TUMI: Awaken 08:00 gmt,9128,None
https://goldapple.ru/19000161481-maha-the-greatest-soul,FreeShape: MAHĀ The Greatest Soul,11895,5
https://goldapple.ru/26144300001-vinyl,FRANCK BOCLET: VINYL,15680,5
https://goldapple.ru/19000009365-arme-blanche,L'atelier parfum: ARME BLANCHE,1820,4.7
https://goldapple.ru/83810100013-plush,MIN NEW YORK: PLUSH,18900,5
https://goldapple.ru/19000089387-ty-cudo,Secrete candles: Ты чудо,2617,None
https://goldapple.ru/83810100002-long-board,MIN NEW YORK: LONG BOARD,20250,5
https://goldapple.ru/19000133636-for-her,MANDARINA DUCK: For her,2100,4.1
https://goldapple.ru/24331600018-sheikha,La Ric: Sheikha,8160,None
https://goldapple.ru/80284600002-man-wood-essence,Bvlgari: Man Wood Essence,5910,4.6
https://goldapple.ru/26301300006-white-essentials-mona-lisa-smile,Jardin de Parfums: WHITE ESSENTIALS MONA LISA SMILE,16965,5
https://goldapple.ru/19000164102-cutie-pie,MiSS KAY.: Cutie pie,891,4.2
https://goldapple.ru/19000139404-eau-de-parfum-citopia,DARLING*: Eau de Parfum Citopia,2625,4.8
https://goldapple.ru/19000166822-double-attack,Mind Games: Double Attack,20440,4.7
https://goldapple.ru/19000215484,TUMI: Continuum 12:00 gmt,9128,None
https://goldapple.ru/19000203077-cedre,SOLINOTES: Cedre,975,None
https://goldapple.ru/19000148355-fig-infusion,ESSENTIAL PARFUMS PARIS: FIG INFUSION refillable,6773,4.7
https://goldapple.ru/19000290305-o-cem-govorat-gory,А помнишь…: О чём говорят горы,2117,None
https://goldapple.ru/19000009165-white-metal-candle-cora,Flame moscow: White metal candle Cora,3040,None
https://goldapple.ru/19000148358-orange-x-santal,ESSENTIAL PARFUMS PARIS: ORANGE X SANTAL refillable,6773,4.5
https://goldapple.ru/19000148363-fig-infusion,ESSENTIAL PARFUMS PARIS: Fig infusion,7763,4.4
https://goldapple.ru/19000018863-fairy-love-limited-edition,Escada: Fairy Love Limited Edition,5700,4.2
https://goldapple.ru/19000008798-travel-set-coda-shaman-dune-road,"MIN NEW YORK: TRAVEL SET: CODA, SHAMAN, DUNE ROAD",7168,5
https://goldapple.ru/26800300010-grand-soir,Maison Francis Kurkdjian: Grand Soir,22000,4.9
https://goldapple.ru/19000178406-vethiver-d-ete,Ynepsie: VETHIVER D’ÉTÉ,2800,3
https://goldapple.ru/19000196141-signoria-90-anniversario,WALLY 1925: Signoria - 90° anniversario,11142,None
https://goldapple.ru/19000173785-une-flanerie-sous-l-oratoire,Rose et Marius: Une flânerie sous l’oratoire,2652,4.7
https://goldapple.ru/19000213778-solution-set,Off-White: Solution set,21150,None
https://goldapple.ru/19000225180-patchouli-oud,Affinessence: PATCHOULI-OUD,10783,5
https://goldapple.ru/28320100005-wild-roses,THE WOODS COLLECTION: WILD ROSES,8062,5
https://goldapple.ru/19000010714-in-red-blooming-passion,Armand Basi: IN RED Blooming Passion,5210,4.8
https://goldapple.ru/19000093525-cologne-352,EX NIHILO: COLOGNE 352,14025,None
https://goldapple.ru/19000121828-no-10-desir-du-coeur,THOMAS KOSMALA: No.10 Désir du Coeur,19184,4.6
https://goldapple.ru/19000178408-sea-storm,Ynepsie: SEA STORM,2800,3.2
https://goldapple.ru/19000117792-heliaca,Le Couvent: Heliaca,1530,4.8
https://goldapple.ru/19000145076-dark-cherry-amber,BANANA REPUBLIC: Dark Cherry & Amber,5690,4.4
https://goldapple.ru/19760327532-atelier-figue-blanche,VERSACE ATELIER: ATELIER FIGUE BLANCHE,24585,4.2
